"","sentence","polarity","source","stanford_sentiment_value","stanford_sentiment"
"1444","The last 15 minutes of movie are also not bad as well.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2921","Needless to say, I won't be going back anytime soon.","0","dataset/yelp_labelled.txt","1","Negative"
"2641","The Macarons here are insanely good.","1","dataset/yelp_labelled.txt","3","Positive"
"2853","So flavorful and has just the perfect amount of heat.","1","dataset/yelp_labelled.txt","3","Positive"
"617","Poor product.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2741","The restaurant is very clean and has a family restaurant feel to it.","1","dataset/yelp_labelled.txt","3","Positive"
"1132","There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2372","They dropped more than the ball.","0","dataset/yelp_labelled.txt","2","Neutral"
"2784","Bland and flavorless is a good way of describing the barely tepid meat.","0","dataset/yelp_labelled.txt","1","Negative"
"2702","I wasn't really impressed with Strip Steak.","0","dataset/yelp_labelled.txt","1","Negative"
"777","I highly recommend this case.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2635","Ordered burger rare came in we'll done.","0","dataset/yelp_labelled.txt","3","Positive"
"1831","See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ","1","dataset/imdb_labelled.txt","3","Positive"
"816","I checked everywhere and there is no feature for it which is really disappointing.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"251","It's fits like a glove and is strong, secure, and durable.","1","dataset/amazon_cells_labelled.txt","4","Verypositive"
"234","Great sound and service.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1665","Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ","0","dataset/imdb_labelled.txt","1","Negative"
"420","The plastic breaks really easy on this clip.","0","dataset/amazon_cells_labelled.txt","3","Positive"
"667","Nice Sound.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2611","!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!","0","dataset/yelp_labelled.txt","E_vety","E_vety"
"147","What a waste of time!","0","dataset/amazon_cells_labelled.txt","0","Verynegative"
"214","The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1185","Not a pleasant voyage of self-discovery.  ","0","dataset/imdb_labelled.txt","2","Neutral"
"2399","Service is perfect and the family atmosphere is nice to see.","1","dataset/yelp_labelled.txt","3","Positive"
"510","As an earlier review noted, plug in this charger and nothing happens.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"229","I have had this phone for over a year now, and I will tell you, its not that great.","0","dataset/amazon_cells_labelled.txt","3","Positive"
"225","There's a horrible tick sound in the background on all my calls that I have never experienced before.","0","dataset/amazon_cells_labelled.txt","0","Verynegative"
"1360","The things that the four kids get themselves into is absolutely hilarious to watch.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2562","After two I felt disgusting.","0","dataset/yelp_labelled.txt","1","Negative"
"120",")Setup couldn't have been simpler.","1","dataset/amazon_cells_labelled.txt","1","Negative"
"935","You get extra minutes so that you can carry out the call and not get cut off.""","1","dataset/amazon_cells_labelled.txt","1","Negative"
"1610","There's also enough hypocrisy in this film to make me vomit.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2755","Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.","0","dataset/yelp_labelled.txt","1","Negative"
"2874","My boyfriend and i sat at the bar and had a completely delightful experience.","1","dataset/yelp_labelled.txt","3","Positive"
"2743","I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.","0","dataset/yelp_labelled.txt","1","Negative"
"2163","Their menu is diverse, and reasonably priced.","1","dataset/yelp_labelled.txt","3","Positive"
"2565","Generous portions and great taste.","1","dataset/yelp_labelled.txt","3","Positive"
"839","Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1223","Mishima is extremely uninteresting.  ","0","dataset/imdb_labelled.txt","0","Verynegative"
"275","Avoid this one if you can.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"545","sucked, most of the stuff does not work with my phone.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"119","It has been a winner for us.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2073","The service was meh.","0","dataset/yelp_labelled.txt","2","Neutral"
"1157","Worst hour and a half of my life!Oh my gosh!  ","0","dataset/imdb_labelled.txt","1","Negative"
"2576","The pizza tasted old, super chewy in not a good way.","0","dataset/yelp_labelled.txt","1","Negative"
"2336","Great service and food.","1","dataset/yelp_labelled.txt","3","Positive"
"2720","We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.","0","dataset/yelp_labelled.txt","1","Negative"
"734","Arrived quickly and much less expensive than others being sold.","1","dataset/amazon_cells_labelled.txt","1","Negative"
"1183","I'll even say it again  this is torture.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2750","Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.","1","dataset/yelp_labelled.txt","4","Verypositive"
"2544","I won't try going back there even if it's empty.","0","dataset/yelp_labelled.txt","1","Negative"
"1727","It will drive you barking mad!  ","0","dataset/imdb_labelled.txt","2","Neutral"
"392","The picture resolution is far below what other comparably-priced phones are offering today.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2087","The poor batter to meat ratio made the chicken tenders very unsatisfying.","0","dataset/yelp_labelled.txt","1","Negative"
"707","So anyone near you will hear part of your conversation.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"2481","We asked for the bill to leave without eating and they didn't bring that either.","0","dataset/yelp_labelled.txt","1","Negative"
"2774","What did bother me, was the slow service.","0","dataset/yelp_labelled.txt","1","Negative"
"433","Low Quality.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1967","Each track commands sentiment, actually contributing to the scenes and characters.  ","1","dataset/imdb_labelled.txt","3","Positive"
"1536","first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1366","This movie has a cutting edge to it.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2713","2 Thumbs Up!!","1","dataset/yelp_labelled.txt","3","Positive"
"1381","All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1148","A truly, truly bad film.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1055","Long, whiny and pointless.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1758","This is one of the best Italian thrillers of the early 70's.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2145","Nice blanket of moz over top but i feel like this was done to cover up the subpar food.","1","dataset/yelp_labelled.txt","1","Negative"
"2344","It's worth driving up from Tucson!","1","dataset/yelp_labelled.txt","3","Positive"
"2334","Everything was gross.","0","dataset/yelp_labelled.txt","1","Negative"
"781","I am sorry I made this purchase.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"197","You'll love how thin it is.","1","dataset/amazon_cells_labelled.txt","2","Neutral"
"501","The bose noise cancelling is amazing, which is very important for a NYC commuter.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1384","The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"1866","The characters are interesting, even if a bit predictable.  ","1","dataset/imdb_labelled.txt","3","Positive"
"1575","Aside from it's terrible lead, this film has loads of other debits.  ","0","dataset/imdb_labelled.txt","1","Negative"
"903","The cutouts and buttons are placed perfectly.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2605","Couldn't ask for a more satisfying meal.","1","dataset/yelp_labelled.txt","1","Negative"
"2640","This is a good joint.","1","dataset/yelp_labelled.txt","3","Positive"
"2668","And the chef was generous with his time (even came around twice so we can take pictures with him).","1","dataset/yelp_labelled.txt","3","Positive"
"625","All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.","1","dataset/amazon_cells_labelled.txt","1","Negative"
"1546","Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2353","Everyone is treated equally special.","1","dataset/yelp_labelled.txt","3","Positive"
"2940","The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.","0","dataset/yelp_labelled.txt","1","Negative"
"2596","The croutons also taste homemade which is an extra plus.","1","dataset/yelp_labelled.txt","3","Positive"
"2938","Don't bother coming here.","0","dataset/yelp_labelled.txt","1","Negative"
"2778","So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.","0","dataset/yelp_labelled.txt","1","Negative"
"1121","A great film by a great director.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"840","I have bought this Nokia cell phone a few weeks ago and it was a nightmare.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1788","If you want a real scare rent this one!  ","1","dataset/imdb_labelled.txt","1","Negative"
"11","And the sound quality is great.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"358","First off the reception sucks, I have never had more than 2 bars, ever.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"478","The volume switch rocketed out of the unit to a destination unknown.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"2744","When I opened the sandwich, I was impressed, but not in a good way.","0","dataset/yelp_labelled.txt","1","Negative"
"1141","These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ","0","dataset/imdb_labelled.txt","1","Negative"
"118","It is very comfortable on the ear.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1322","There is a brilliant twist ending.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2226","I loved the bacon wrapped dates.","1","dataset/yelp_labelled.txt","3","Positive"
"357","The only thing that I think could improve is the sound leaks out from the headset.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2553","I would recommend saving room for this!","1","dataset/yelp_labelled.txt","3","Positive"
"1450","I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ","1","dataset/imdb_labelled.txt","3","Positive"
"44","I only hear garbage for audio.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2616","The cow tongue and cheek tacos are amazing.","1","dataset/yelp_labelled.txt","3","Positive"
"2191","you can watch them preparing the delicious food!)","1","dataset/yelp_labelled.txt","3","Positive"
"1674","All of the main players are mesmerising.  ","1","dataset/imdb_labelled.txt","2","Neutral"
"414","We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement","0","dataset/amazon_cells_labelled.txt","1","Negative"
"413","Jawbone Era is awesome too!","1","dataset/amazon_cells_labelled.txt","3","Positive"
"195","Not impressed.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"1616","VERY funny!  ","1","dataset/imdb_labelled.txt","3","Positive"
"1729","Very nice and relaxing late night viewing.  ","1","dataset/imdb_labelled.txt","3","Positive"
"1624","It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ","1","dataset/imdb_labelled.txt","3","Positive"
"988","Phone falls out easily.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1491","Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ","1","dataset/imdb_labelled.txt","3","Positive"
"1733",") a happy, wonderful, feel good ending!  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2792","Once your food arrives it's meh.","0","dataset/yelp_labelled.txt","2","Neutral"
"898","Don't buy this product - It fails!.","0","dataset/amazon_cells_labelled.txt","E_vety","E_vety"
"2461","Definitely not worth the $3 I paid.","0","dataset/yelp_labelled.txt","1","Negative"
"2281","I went to Bachi Burger on a friend's recommendation and was not disappointed.","1","dataset/yelp_labelled.txt","1","Negative"
"2909","We won't be returning.","0","dataset/yelp_labelled.txt","1","Negative"
"2324","A couple of months later, I returned and had an amazing meal.","1","dataset/yelp_labelled.txt","3","Positive"
"425","Also the area where my unit broke).- I'm not too fond of the magnetic strap.","0","dataset/amazon_cells_labelled.txt","E_vety","E_vety"
"1802","Avoid at ALL costs!  ","0","dataset/imdb_labelled.txt","2","Neutral"
"220","I'm still infatuated with this phone.","1","dataset/amazon_cells_labelled.txt","1","Negative"
"2928","It also took her forever to bring us the check when we asked for it.","0","dataset/yelp_labelled.txt","3","Positive"
"2501","I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!","1","dataset/yelp_labelled.txt","4","Verypositive"
"1699","It's a case of 'so bad it is laughable'.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2661","I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).","1","dataset/yelp_labelled.txt","E_vety","E_vety"
"1829","Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ","1","dataset/imdb_labelled.txt","3","Positive"
"605","Poor Construction.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1585","Generally; it just lacked imagination.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2752","The wontons were thin, not thick and chewy, almost melt in your mouth.","1","dataset/yelp_labelled.txt","1","Negative"
"1863","A film not easily forgotten.  ","1","dataset/imdb_labelled.txt","1","Negative"
"696","Do NOT buy if you want to use the holster.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1588","There is no plot here to keep you going in the first place.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1615","Omit watching this.  ","0","dataset/imdb_labelled.txt","2","Neutral"
"990","The text messaging feature is really tricky to use.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2243","By this time our side of the restaurant was almost empty so there was no excuse.","0","dataset/yelp_labelled.txt","1","Negative"
"2926","I could barely stomach the meal, but didn't complain because it was a business lunch.","0","dataset/yelp_labelled.txt","1","Negative"
"1136","I could not stand to even watch it for very long for fear of losing I.Q.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2710","I mean really, how do you get so famous for your fish and chips when it's so terrible!?!","0","dataset/yelp_labelled.txt","1","Negative"
"1087","I gave it a 10  ","1","dataset/imdb_labelled.txt","2","Neutral"
"681","And none of the tones is acceptable.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"109","The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1175","This film has no redeeming features.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1554","This movie is a solid example of a bad plot and a very, very bad idea all the way.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1247","No actress has been worse used that June Allison in this movie.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2971","I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.","0","dataset/yelp_labelled.txt","1","Negative"
"2315","Great food for the price, which is very high quality and house made.","1","dataset/yelp_labelled.txt","4","Verypositive"
"649","When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2698","I was mortified.","0","dataset/yelp_labelled.txt","2","Neutral"
"2180","We literally sat there for 20 minutes with no one asking to take our order.","0","dataset/yelp_labelled.txt","1","Negative"
"2900","Overall, a great experience.","1","dataset/yelp_labelled.txt","3","Positive"
"2832","Very poor service.","0","dataset/yelp_labelled.txt","1","Negative"
"911","Good show, Samsung.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1038","Buy it, play it, enjoy it, love it.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2477","We enjoy their pizza and brunch.","1","dataset/yelp_labelled.txt","3","Positive"
"2664","Both great!","1","dataset/yelp_labelled.txt","4","Verypositive"
"2045","Frozen pucks of disgust, with some of the worst people behind the register.","0","dataset/yelp_labelled.txt","0","Verynegative"
"178","I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"786","This allows the possibility of double booking for the same date and time after the first.","0","dataset/amazon_cells_labelled.txt","3","Positive"
"1475","I was very uneasy with how bad this movie was, but not scared at all.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2072","- Really, really good rice, all the time.","1","dataset/yelp_labelled.txt","3","Positive"
"252","O my gosh the best phone I have ever had.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1933","The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2852","I probably would not go here again.","0","dataset/yelp_labelled.txt","1","Negative"
"137","Very good stuff for the price.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"756","Then a few days later the a puff of smoke came out of the phone while in use.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"1077","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2511","I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.","1","dataset/yelp_labelled.txt","1","Negative"
"1975","If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ","0","dataset/imdb_labelled.txt","1","Negative"
"815","Battery has no life.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2469","Love the margaritas, too!","1","dataset/yelp_labelled.txt","2","Neutral"
"1287","The plot - well, I said I'd let that one go.  ","0","dataset/imdb_labelled.txt","3","Positive"
"1232","I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1979","Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ","1","dataset/imdb_labelled.txt","3","Positive"
"930","As I said above....PRETTY USELESS!","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"1529","Whatever prompted such a documentary is beyond me!  ","0","dataset/imdb_labelled.txt","3","Positive"
"2118","I've had better atmosphere.","0","dataset/yelp_labelled.txt","2","Neutral"
"2753","Level 5 spicy was perfect, where spice didn't over-whelm the soup.","1","dataset/yelp_labelled.txt","3","Positive"
"249","Internet is excrutiatingly slow.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"61","Essentially you can forget Microsoft's tech support.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"2936","This place lacked style!!","0","dataset/yelp_labelled.txt","1","Negative"
"2011","Service was very prompt.","1","dataset/yelp_labelled.txt","1","Negative"
"652","I found the product to be easy to set up and use.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"660","It felt too light and ""tinny."".","0","dataset/amazon_cells_labelled.txt","E_vety","E_vety"
"1777","Why was this film made?  ","0","dataset/imdb_labelled.txt","1","Negative"
"2385","WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.","0","dataset/yelp_labelled.txt","1","Negative"
"1331","The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1196","But this movie is definitely a below average rent.  ","0","dataset/imdb_labelled.txt","1","Negative"
"544","Don't buy this product.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"489","Then I exchanged for the same phone, even that had the same problem.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"15","The design is very odd, as the ear ""clip"" is not very comfortable at all.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1920","Characters are one-dimensional, even the good guys and especially the bad guys.  ","0","dataset/imdb_labelled.txt","1","Negative"
"581","It works great with a car charger, especially if you cannot plug in two adapters at the same time.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"265","THAT one didn't work either.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1850","It's like a bad two hour TV movie.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1897","I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ","0","dataset/imdb_labelled.txt","3","Positive"
"2049","If you want a sandwich just go to any Firehouse!!!!!","1","dataset/yelp_labelled.txt","2","Neutral"
"1354","I would give this television series a 10 plus if i could.  ","1","dataset/imdb_labelled.txt","1","Negative"
"411","I'll be looking for a new earpiece.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"2514","Reasonably priced also!","1","dataset/yelp_labelled.txt","2","Neutral"
"535","Great case and price!","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1229","When I first watched this movie, in the 80s, I loved it.  ","1","dataset/imdb_labelled.txt","3","Positive"
"2064","We'd definitely go back here again.","1","dataset/yelp_labelled.txt","2","Neutral"
"2213","My friend loved the salmon tartar.","1","dataset/yelp_labelled.txt","3","Positive"
"495","Pretty piece of junk.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2931","The food is about on par with Denny's, which is to say, not good at all.","0","dataset/yelp_labelled.txt","1","Negative"
"899","Everything about this product is wrong.First","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"604","I am more than happy with this product.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1590","Beware: this is not a trashy cult movie, this is trash -period!  ","0","dataset/imdb_labelled.txt","0","Verynegative"
"1565","One of the most disappointing aspects is the lack of notable gore.  ","0","dataset/imdb_labelled.txt","0","Verynegative"
"2031","Also there are combos like a burger, fries, and beer for 23 which is a decent deal.","1","dataset/yelp_labelled.txt","1","Negative"
"1281","It was forced, like everything in this movie.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2160","Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.","0","dataset/yelp_labelled.txt","1","Negative"
"573","Worst ever.","0","dataset/amazon_cells_labelled.txt","2","Neutral"
"1400","The good cinematography also makes her and Monica Bellucci look very beautiful.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2449","The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.","1","dataset/yelp_labelled.txt","3","Positive"
"2604","Good value, great food, great service.","1","dataset/yelp_labelled.txt","3","Positive"
"1267","Thanks good a movie like this was done and released.  ","1","dataset/imdb_labelled.txt","3","Positive"
"647","Phone is sturdy as all nokia bar phones are.","1","dataset/amazon_cells_labelled.txt","2","Neutral"
"1114","), and sometimes it was so embarrassing that I had to look away.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1172","This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1432","I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ","0","dataset/imdb_labelled.txt","1","Negative"
"492","It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.","1","dataset/amazon_cells_labelled.txt","4","Verypositive"
"1442","But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ","0","dataset/imdb_labelled.txt","1","Negative"
"4","Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!","0","dataset/amazon_cells_labelled.txt","1","Negative"
"1291","Camerawork - again, bad.  ","0","dataset/imdb_labelled.txt","2","Neutral"
"670","Setup went very smoothly.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2177","The service here leaves a lot to be desired.","0","dataset/yelp_labelled.txt","1","Negative"
"2335","I love this place.","1","dataset/yelp_labelled.txt","3","Positive"
"1205","I think that it is a must see older John Wayne film.  ","1","dataset/imdb_labelled.txt","2","Neutral"
"421","Price is good too.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2739","I love the decor with the Chinese calligraphy wall paper.","1","dataset/yelp_labelled.txt","3","Positive"
"462","We would recommend these to others.","1","dataset/amazon_cells_labelled.txt","1","Negative"
